time,O2 (micromol/L),upwelling index
30-10-2021,79.04012486,8
31-10-2021,75.48829993,-181
01-11-2021,79.68401033,-93
02-11-2021,,-169
03-11-2021,,-334
04-11-2021,,-150
05-11-2021,77.95118303,-57
06-11-2021,18.84692318,-43
07-11-2021,74.55578908,-57
08-11-2021,76.60511199,-464
09-11-2021,81.65715652,-30
10-11-2021,83.40900947,-104
11-11-2021,71.01734355,-44
12-11-2021,83.9003226,-4
13-11-2021,90.00590486,-2
14-11-2021,76.62958328,-7
15-11-2021,85.56643533,26
16-11-2021,78.27185786,62
17-11-2021,75.3905148,-30
18-11-2021,,-190
19-11-2021,78.17233768,56
14-03-2022,79.36814687,-115
15-03-2022,79.85148749,2
16-03-2022,79.38336947,1
17-03-2022,76.141908,5
18-03-2022,74.82902773,-18
19-03-2022,79.67144806,78
20-03-2022,,3
21-03-2022,30.96105509,-8
22-03-2022,23.08261597,10
23-03-2022,25.25204888,84
24-03-2022,23.00646384,50
25-03-2022,21.71764251,11
26-03-2022,21.5693805,-14
27-03-2022,21.42695999,-14
28-03-2022,21.65820276,44
29-03-2022,18.81151722,44
30-03-2022,71.38253452,125
31-03-2022,70.58196128,119
01-04-2022,68.50595953,99
02-04-2022,62.69798973,64
24-01-2022,77.91380845,33
25-01-2022,81.34411475,-6
26-01-2022,77.40948062,-3
27-01-2022,81.06362601,-13
28-01-2022,81.53449378,-5
29-01-2022,81.08523272,2
30-01-2022,82.2957236,33
31-01-2022,85.20037262,76
01-02-2022,81.55833052,91
02-02-2022,76.97042263,27
03-02-2022,80.69108897,13
04-02-2022,73.92127123,19
20-11-2021,73.51082288,49
21-11-2021,77.9823043,0
22-11-2021,79.05432875,9
23-11-2021,80.59190229,34
24-11-2021,78.19049523,-8
25-11-2021,84.26713866,-21
26-11-2021,72.95437606,-6
27-11-2021,80.92887991,-27
28-11-2021,76.46163868,-3
29-11-2021,75.83154092,9
30-11-2021,78.86959959,22
01-12-2021,82.13786151,47
02-12-2021,72.62909125,150
03-12-2021,73.29151745,82
11-09-2022,67.03637731,6
12-09-2022,60.4020979,14
13-09-2022,62.60135759,18
14-09-2022,41.77827525,11
15-09-2022,57.66965803,33
16-09-2022,64.435168,62
17-09-2022,59.11191512,16
18-09-2022,50.47132982,18
19-09-2022,61.91307461,5
20-09-2022,56.49577016,7
21-09-2022,73.59112234,3
22-09-2022,65.34337354,7
23-09-2022,74.31788418,53
24-09-2022,59.32027336,62
25-09-2022,60.83634911,54
26-09-2022,73.34315186,33
21-06-2022,61.92935894,208
22-06-2022,57.993421,250
23-06-2022,52.33551637,233
24-06-2022,61.09542454,162
25-06-2022,42.79367419,35
26-06-2022,49.52172906,2
27-06-2022,58.45439825,4
28-06-2022,62.44441598,70
29-06-2022,71.48402542,148
30-06-2022,23.01900916,169
01-07-2022,22.68325879,151
02-07-2022,22.17725169,109
03-07-2022,17.47553414,12
04-07-2022,18.23326644,23
05-07-2022,21.52891505,7
06-07-2022,24.83537112,14
07-07-2022,22.81952141,40
08-07-2022,20.60028555,82
09-07-2022,23.85351319,124
10-07-2022,21.75766458,121
11-07-2022,14.95613744,171
12-07-2022,13.8138817,185
13-07-2022,13.99661748,185
14-07-2022,15.52406739,87
15-07-2022,16.02532488,57
16-07-2022,16.84394459,171
17-07-2022,18.57084786,221
18-07-2022,21.07204223,158
19-07-2022,19.34088798,91
20-07-2022,13.83358139,66
21-07-2022,15.55507959,128
22-07-2022,20.21080294,167
23-07-2022,18.76191496,249
24-07-2022,21.03569668,157
25-07-2022,16.71293779,81
26-07-2022,15.9692775,38
27-07-2022,18.57686245,51
28-07-2022,21.81062613,108
29-07-2022,21.40656089,112
30-07-2022,21.73243462,78
31-07-2022,18.27136649,40
01-08-2022,20.25526944,22
02-08-2022,21.55532532,31
03-08-2022,23.15479727,71
04-08-2022,20.29217768,133
05-08-2022,21.73381747,100
06-08-2022,22.46678029,43
07-08-2022,22.19537102,17
08-08-2022,23.30848649,18
09-08-2022,25.66489416,26
10-08-2022,26.19265192,9
11-08-2022,24.69572316,19
12-08-2022,,25
13-08-2022,,63
14-08-2022,,90
15-08-2022,,109
16-08-2022,,144
17-08-2022,,69
18-08-2022,,33
19-08-2022,,109
20-08-2022,,89
21-08-2022,,28
22-08-2022,,43
23-08-2022,,147
24-08-2022,,123
25-08-2022,,133
26-08-2022,66.65939791,134
27-08-2022,61.30720122,186
28-08-2022,49.61579723,139
29-08-2022,56.40247221,53
30-08-2022,63.89222303,15
31-08-2022,71.13979011,11
01-09-2022,63.06588138,45
02-09-2022,41.72189544,55
03-09-2022,27.82766083,33
04-09-2022,52.25491258,76
05-09-2022,52.4754457,181
06-09-2022,45.8307233,120
07-09-2022,44.8914719,194
08-09-2022,62.73795024,232
09-09-2022,56.69779432,46
10-09-2022,61.74174012,-26
04-12-2021,74.9209565,28
05-12-2021,78.84316255,63
06-12-2021,80.48676173,-19
07-12-2021,78.68985178,12
08-12-2021,81.36056052,71
09-12-2021,78.39958902,26
10-12-2021,77.19850396,-83
11-12-2021,78.04378557,-290
12-12-2021,80.95623863,-121
13-12-2021,84.33277509,-55
14-12-2021,81.15111866,-46
15-12-2021,90.99516185,-329
